"gene","module"
"100422842","grey"
"100422843","grey"
"100422846","grey"
"100422847","grey"
"100422849","grey"
"100422850","grey"
"100422851","grey"
"100422853","grey"
"100422854","grey"
"100422855","grey"
"100422856","grey"
"100422857","grey"
"100422858","grey"
"100422859","grey"
"100422860","grey"
"100422861","grey"
"100422862","grey"
"100422863","grey"
"100422864","grey"
"100422866","grey"
"100422868","grey"
"100422869","grey"
"100422871","grey"
"100422872","grey"
"100422873","grey"
"100422874","grey"
"100422875","grey"
"100422877","grey"
"100422878","grey"
"100422879","grey"
"100422880","grey"
"100422881","grey"
"100422882","grey"
"100422885","grey"
"100422887","grey"
"100422888","grey"
"100422889","grey"
"100422892","grey"
"100422893","grey"
"100422894","grey"
"100422895","grey"
"100422896","grey"
"100422899","grey"
"100422900","grey"
"100422901","grey"
"100422902","grey"
"100422903","grey"
"100422904","grey"
"100422905","grey"
"100422908","grey"
"100422909","grey"
"100422910","grey"
"100422912","grey"
"100422913","grey"
"100422914","turquoise"
"100422915","grey"
"100422916","grey"
"100422918","grey"
"100422922","grey"
"100422923","grey"
"100422925","grey"
"100422926","grey"
"100422927","grey"
"100422928","grey"
"100422929","grey"
"100422931","grey"
"100422933","grey"
"100422934","grey"
"100422936","grey"
"100422937","grey"
"100422939","grey"
"100422940","grey"
"100422942","grey"
"100422943","grey"
"100422944","grey"
"100422945","grey"
"100422946","grey"
"100422947","grey"
"100422948","grey"
"100422949","grey"
"100422952","grey"
"100422953","grey"
"100422954","grey"
"100422955","turquoise"
"100422957","grey"
"100422961","grey"
"100422962","grey"
"100422964","grey"
"100422965","grey"
"100422967","grey"
"100422968","grey"
"100422969","grey"
"100422970","grey"
"100422971","grey"
"100422974","grey"
"100422976","grey"
"100422979","grey"
"100422980","grey"
"100422981","grey"
"100422982","grey"
"100422983","grey"
"100422984","grey"
"100422986","grey"
"100422987","grey"
"100422989","grey"
"100422990","grey"
"100422991","turquoise"
"100422992","grey"
"100422993","grey"
"100422995","grey"
"100422996","grey"
"100422997","grey"
"100422998","grey"
"100422999","grey"
"100423000","grey"
"100423001","grey"
"100423002","grey"
"100423003","grey"
"100423004","grey"
"100423005","grey"
"100423009","grey"
"100423011","grey"
"100423012","grey"
"100423013","grey"
"100423014","grey"
"100423017","grey"
"100423020","grey"
"100423021","grey"
"100423023","grey"
"100423025","grey"
"100423026","grey"
"100423027","grey"
"100423028","grey"
"100423029","grey"
"100423030","grey"
"100423031","grey"
"100423033","grey"
"100423034","grey"
"100423035","grey"
"100423036","grey"
"100423037","grey"
"100423039","grey"
"100423041","grey"
"100423042","grey"
"100423043","grey"
"100423062","grey"
"10043","brown"
"100431172","grey"
"10044","brown"
"10045","grey"
"10046","blue"
"100462953","grey"
"100462977","grey"
"100462981","midnightblue"
"100462983","grey"
"100463285","grey"
"100463289","grey"
"100463482","grey"
"100463486","grey"
"100463487","midnightblue"
"100463488","grey"
"10047","grey"
"10048","blue"
"10049","tan"
"100498859","grey"
"100499171","grey"
"100499177","grey"
"100499183","grey"
"100499194","grey"
"100499227","yellow"
"100499405","brown"
"100499466","salmon"
"100499467","grey"
"100499483","grey"
"100499484","yellow"
"100499489","turquoise"
"1005","blue"
"10050","grey"
"100500773","grey"
"100500801","grey"
"100500802","grey"
"100500803","grey"
"100500804","green"
"100500805","grey"
"100500807","grey"
"100500808","grey"
"100500809","grey"
"100500810","turquoise"
"100500811","grey"
"100500812","grey"
"100500814","grey"
"100500816","grey"
"100500817","grey"
"100500818","grey"
"100500819","grey"
"100500820","grey"
"100500822","grey"
"100500824","grey"
"100500825","grey"
"100500826","grey"
"100500827","brown"
